question,file_source
Give me all the works for which the title of the Performed Expression is different from the title of the work,32.rq
Give me all the recordings of opera aria whose library has no score,51.rq
Give me all the recordings of the _Catalogue Aria_ (isolated air or in a recording of the opera),46.rq
Give me the list of the latest releases of DGG (Deutsche Grammophon Gesellschaft) in chamber music for strings,49.rq
Give me a list of melodies of 20th century about gastronomy,21.rq
Give me the list of concerts of the Orchestre National de France in which the conductor is also instrumental soloist (in the same concert),17.rq
Give me all the performances in which a composer interprets his or her works,15.rq
Give me the list of all the concerts recorded by Radio France at the Cité de la Musique between 1995 and 2014,43.rq
Give me the list of the works that were created where they were composed,26.rq
"Give me the works written for violin, clarinet and piano (strictly)",8.rq
Give me the artists that have been recorded more than 10 times by Radio France,38.rq
Give me all the works interpreted on at least one mop different from the casting of the work,30.rq
Give me pairs of recorded tracks that are composed with the same key,48.rq
Could I find any music for flute and TWO bassoons (strictly)? an interesting combo,mla-strict.rq
Give me all the operas of which the composer is also the librettist,33.rq
"Give me all works for which there are alternate castings with a different number of interpreters (e.g. keyboard & orch / cello, oboe & orch)",19.rq
Give me a list of works of chamber music composed in the 19th century by Scandinavian composers,22.rq
"Give me the works of chamber music that involves at least violin, clarinet and piano",9.rq
Give me the list of the works of which at least one of the dedicatees is also a performer of the work,23.rq
Give me the list of the reductions of works of Wagner realized in the 20th century,31.rq
Give me all the works that have been written by German composers between 1800 and 1850 and performed at the Royal Albert Hall.,5.rq
Which works have been written for string quartet?,3.rq
Give me the flute sonatas that last less than or equal to 15 minutes,39.rq
Give me all the recordings of opera aria whose library has at least one score,50.rq
Which works have been composed in 1836 ?,2.rq
What works are linked to a particular work and what type of link connect them?,4.rq
Give me all the sonatas for piano and violin whose duration is between 20 and 30 minutes,40.rq
"Give me the works of chamber music that involves at most violin, clarinet and piano, except from the sonatas for violin and piano and clarinet and piano",11.rq
Give me the list of works composed by Mozart in the last 5 years of his life,25.rq
Could I find any music for flute and TWO bassoons ? an interesting combo,mla.rq
Give me the list of concerts given at the Philharmonie de Paris in which the orchestra is directed by the solo violin,18.rq
Give me all the slow movements of chamber music that foresee at least one cello,13.rq
Give me all works for piano based on works of Schubert,35.rq
Give me the list of concerts performed at the Abbaye aux Dames de Saintes outside the festival period of Saintes,37.rq
Give me the name and the birth date of artists that played the oboe,6.rq
Give me the name of the vocal soloist most recorded by Radio France in 2014,42.rq
Give me the cutting of all the recordings of Don Giovanni by Mozart,45.rq
"Give me a list of works composed between 1860 and 1880, for small formation (maximum 6 instrumentalists) including 1 piano",27.rq
Give me a cycle of melodies whose author of text is the same for each melody,34.rq
Give me the list of works of J.S. Bach between BWV 30 and BWV 70,28.rq
Give me the list of all symphonies that include 5 movements,24.rq
Give me all the works related to popular music,36.rq
Give me all the works for piano connected to other musical works,29.rq
Give me the list of the recordings made in 2014 by Harmonia Mundi with,44.rq
Which works have been composed by Mozart?,1.rq
Give me all the melodies written on French texts for average voice between 1870 and 1913.,12.rq
Give me the list of the choristers of the Collegium Vocale who participated in at least three radio recordings of the choir in 2012,41.rq
Give me the works written for oboe and orchestra after the 1900,7.rq
"Give me the works of chamber music that involves at most violin, clarinet and piano",10.rq
Give me all the performances in which a composer directs one of his works,16.rq
"Among concerts and CDs, which works are often played after < other work > ?",47.rq
Give me all the works for which there are alternative castings with a different number of instruments (e.g. 2 pianos or 4 hands piano),20.rq
Give me all the sacred vocal music for choir written in England after 1945,14.rq
